country_fr,iso3c,year,week,deaths_total,deaths_covid,avg2016_19,diff2016_19p
Autriche,AUT,2016,1,1634,NA,1835,-11
Autriche,AUT,2016,2,1626,NA,1879,-13.5
Autriche,AUT,2016,3,1608,NA,1774,-9.4
Autriche,AUT,2016,4,1578,NA,1736,-9.1
Autriche,AUT,2016,5,1609,NA,1814,-11.3
Autriche,AUT,2016,6,1650,NA,1814,-9
Autriche,AUT,2016,7,1621,NA,1768,-8.3
Autriche,AUT,2016,8,1581,NA,1772,-10.8
Autriche,AUT,2016,9,1714,NA,1799,-4.7
Autriche,AUT,2016,10,1532,NA,1730,-11.4
Autriche,AUT,2016,11,1516,NA,1698,-10.7
Autriche,AUT,2016,12,1499,NA,1574,-4.8
Autriche,AUT,2016,13,1598,NA,1626,-1.7
Autriche,AUT,2016,14,1562,NA,1581,-1.2
Autriche,AUT,2016,15,1520,NA,1542,-1.4
Autriche,AUT,2016,16,1413,NA,1501,-5.9
Autriche,AUT,2016,17,1460,NA,1451,0.6
Autriche,AUT,2016,18,1447,NA,1468,-1.4
Autriche,AUT,2016,19,1486,NA,1436,3.5
Autriche,AUT,2016,20,1453,NA,1464,-0.8
Autriche,AUT,2016,21,1505,NA,1428,5.4
Autriche,AUT,2016,22,1402,NA,1442,-2.8
Autriche,AUT,2016,23,1360,NA,1406,-3.3
Autriche,AUT,2016,24,1348,NA,1429,-5.7
Autriche,AUT,2016,25,1452,NA,1438,1
Autriche,AUT,2016,26,1338,NA,1406,-4.8
Autriche,AUT,2016,27,1328,NA,1422,-6.6
Autriche,AUT,2016,28,1323,NA,1353,-2.2
Autriche,AUT,2016,29,1458,NA,1468,-0.7
Autriche,AUT,2016,30,1424,NA,1453,-2
Autriche,AUT,2016,31,1390,NA,1520,-8.6
Autriche,AUT,2016,32,1359,NA,1408,-3.5
Autriche,AUT,2016,33,1394,NA,1403,-0.6
Autriche,AUT,2016,34,1408,NA,1448,-2.8
Autriche,AUT,2016,35,1414,NA,1414,0
Autriche,AUT,2016,36,1380,NA,1374,0.4
Autriche,AUT,2016,37,1392,NA,1419,-1.9
Autriche,AUT,2016,38,1376,NA,1414,-2.7
Autriche,AUT,2016,39,1442,NA,1487,-3
Autriche,AUT,2016,40,1469,NA,1514,-3
Autriche,AUT,2016,41,1556,NA,1546,0.6
Autriche,AUT,2016,42,1607,NA,1511,6.4
Autriche,AUT,2016,43,1522,NA,1512,0.7
Autriche,AUT,2016,44,1484,NA,1533,-3.2
Autriche,AUT,2016,45,1541,NA,1522,1.2
Autriche,AUT,2016,46,1616,NA,1559,3.7
Autriche,AUT,2016,47,1550,NA,1551,-0.1
Autriche,AUT,2016,48,1601,NA,1561,2.6
Autriche,AUT,2016,49,1619,NA,1626,-0.4
Autriche,AUT,2016,50,1670,NA,1629,2.5
Autriche,AUT,2016,51,1847,NA,1682,9.8
Autriche,AUT,2016,52,2160,NA,1783,21.1
Autriche,AUT,2017,1,2293,NA,1835,25
Autriche,AUT,2017,2,2340,NA,1879,24.5
Autriche,AUT,2017,3,2060,NA,1774,16.1
Autriche,AUT,2017,4,1938,NA,1736,11.6
Autriche,AUT,2017,5,2045,NA,1814,12.7
Autriche,AUT,2017,6,1874,NA,1814,3.3
Autriche,AUT,2017,7,1750,NA,1768,-1
Autriche,AUT,2017,8,1807,NA,1772,2
Autriche,AUT,2017,9,1696,NA,1799,-5.7
Autriche,AUT,2017,10,1614,NA,1730,-6.7
Autriche,AUT,2017,11,1542,NA,1698,-9.2
Autriche,AUT,2017,12,1535,NA,1574,-2.5
Autriche,AUT,2017,13,1489,NA,1626,-8.4
Autriche,AUT,2017,14,1537,NA,1581,-2.8
Autriche,AUT,2017,15,1532,NA,1542,-0.6
Autriche,AUT,2017,16,1475,NA,1501,-1.7
Autriche,AUT,2017,17,1440,NA,1451,-0.8
Autriche,AUT,2017,18,1527,NA,1468,4
Autriche,AUT,2017,19,1434,NA,1436,-0.1
Autriche,AUT,2017,20,1501,NA,1464,2.5
Autriche,AUT,2017,21,1327,NA,1428,-7.1
Autriche,AUT,2017,22,1456,NA,1442,1
Autriche,AUT,2017,23,1312,NA,1406,-6.7
Autriche,AUT,2017,24,1421,NA,1429,-0.6
Autriche,AUT,2017,25,1476,NA,1438,2.6
Autriche,AUT,2017,26,1419,NA,1406,0.9
Autriche,AUT,2017,27,1413,NA,1422,-0.6
Autriche,AUT,2017,28,1346,NA,1353,-0.5
Autriche,AUT,2017,29,1475,NA,1468,0.5
Autriche,AUT,2017,30,1375,NA,1453,-5.4
Autriche,AUT,2017,31,1616,NA,1520,6.3
Autriche,AUT,2017,32,1334,NA,1408,-5.3
Autriche,AUT,2017,33,1380,NA,1403,-1.6
Autriche,AUT,2017,34,1472,NA,1448,1.7
Autriche,AUT,2017,35,1329,NA,1414,-6
Autriche,AUT,2017,36,1318,NA,1374,-4.1
Autriche,AUT,2017,37,1426,NA,1419,0.5
Autriche,AUT,2017,38,1407,NA,1414,-0.5
Autriche,AUT,2017,39,1496,NA,1487,0.6
Autriche,AUT,2017,40,1481,NA,1514,-2.2
Autriche,AUT,2017,41,1529,NA,1546,-1.1
Autriche,AUT,2017,42,1453,NA,1511,-3.8
Autriche,AUT,2017,43,1489,NA,1512,-1.5
Autriche,AUT,2017,44,1551,NA,1533,1.2
Autriche,AUT,2017,45,1490,NA,1522,-2.1
Autriche,AUT,2017,46,1505,NA,1559,-3.5
Autriche,AUT,2017,47,1570,NA,1551,1.2
Autriche,AUT,2017,48,1531,NA,1561,-1.9
Autriche,AUT,2017,49,1632,NA,1626,0.4
Autriche,AUT,2017,50,1554,NA,1629,-4.6
Autriche,AUT,2017,51,1653,NA,1682,-1.7
Autriche,AUT,2017,52,1646,NA,1783,-7.7
Autriche,AUT,2018,1,1767,NA,1835,-3.7
Autriche,AUT,2018,2,1842,NA,1879,-2
Autriche,AUT,2018,3,1786,NA,1774,0.7
Autriche,AUT,2018,4,1714,NA,1736,-1.3
Autriche,AUT,2018,5,1870,NA,1814,3.1
Autriche,AUT,2018,6,1938,NA,1814,6.8
Autriche,AUT,2018,7,1881,NA,1768,6.4
Autriche,AUT,2018,8,1951,NA,1772,10.1
Autriche,AUT,2018,9,2021,NA,1799,12.3
Autriche,AUT,2018,10,1965,NA,1730,13.6
Autriche,AUT,2018,11,1946,NA,1698,14.6
Autriche,AUT,2018,12,1641,NA,1574,4.3
Autriche,AUT,2018,13,1766,NA,1626,8.6
Autriche,AUT,2018,14,1617,NA,1581,2.3
Autriche,AUT,2018,15,1560,NA,1542,1.2
Autriche,AUT,2018,16,1557,NA,1501,3.7
Autriche,AUT,2018,17,1383,NA,1451,-4.7
Autriche,AUT,2018,18,1434,NA,1468,-2.3
Autriche,AUT,2018,19,1372,NA,1436,-4.5
Autriche,AUT,2018,20,1342,NA,1464,-8.3
Autriche,AUT,2018,21,1383,NA,1428,-3.2
Autriche,AUT,2018,22,1415,NA,1442,-1.9
Autriche,AUT,2018,23,1433,NA,1406,1.9
Autriche,AUT,2018,24,1392,NA,1429,-2.6
Autriche,AUT,2018,25,1401,NA,1438,-2.6
Autriche,AUT,2018,26,1414,NA,1406,0.6
Autriche,AUT,2018,27,1441,NA,1422,1.3
Autriche,AUT,2018,28,1404,NA,1353,3.8
Autriche,AUT,2018,29,1511,NA,1468,2.9
Autriche,AUT,2018,30,1455,NA,1453,0.1
Autriche,AUT,2018,31,1615,NA,1520,6.2
Autriche,AUT,2018,32,1532,NA,1408,8.8
Autriche,AUT,2018,33,1430,NA,1403,1.9
Autriche,AUT,2018,34,1460,NA,1448,0.8
Autriche,AUT,2018,35,1414,NA,1414,0
