country_fr,iso3c,date,restriction_type,restriction_level,flag_level
Autriche,AUT,2020-01-01,school,0,NA
Autriche,AUT,2020-01-01,workplace,0,NA
Autriche,AUT,2020-01-01,events,0,NA
Autriche,AUT,2020-01-01,gatherings,0,NA
Autriche,AUT,2020-01-01,transports,0,NA
Autriche,AUT,2020-01-01,confinement,0,NA
Autriche,AUT,2020-01-01,mov_nat,0,NA
Autriche,AUT,2020-01-01,mov_internat,0,NA
Autriche,AUT,2020-01-02,school,0,NA
Autriche,AUT,2020-01-02,workplace,0,NA
Autriche,AUT,2020-01-02,events,0,NA
Autriche,AUT,2020-01-02,gatherings,0,NA
Autriche,AUT,2020-01-02,transports,0,NA
Autriche,AUT,2020-01-02,confinement,0,NA
Autriche,AUT,2020-01-02,mov_nat,0,NA
Autriche,AUT,2020-01-02,mov_internat,0,NA
Autriche,AUT,2020-01-03,school,0,NA
Autriche,AUT,2020-01-03,workplace,0,NA
Autriche,AUT,2020-01-03,events,0,NA
Autriche,AUT,2020-01-03,gatherings,0,NA
Autriche,AUT,2020-01-03,transports,0,NA
Autriche,AUT,2020-01-03,confinement,0,NA
Autriche,AUT,2020-01-03,mov_nat,0,NA
Autriche,AUT,2020-01-03,mov_internat,0,NA
Autriche,AUT,2020-01-04,school,0,NA
Autriche,AUT,2020-01-04,workplace,0,NA
Autriche,AUT,2020-01-04,events,0,NA
Autriche,AUT,2020-01-04,gatherings,0,NA
Autriche,AUT,2020-01-04,transports,0,NA
Autriche,AUT,2020-01-04,confinement,0,NA
Autriche,AUT,2020-01-04,mov_nat,0,NA
Autriche,AUT,2020-01-04,mov_internat,0,NA
Autriche,AUT,2020-01-05,school,0,NA
Autriche,AUT,2020-01-05,workplace,0,NA
Autriche,AUT,2020-01-05,events,0,NA
Autriche,AUT,2020-01-05,gatherings,0,NA
Autriche,AUT,2020-01-05,transports,0,NA
Autriche,AUT,2020-01-05,confinement,0,NA
Autriche,AUT,2020-01-05,mov_nat,0,NA
Autriche,AUT,2020-01-05,mov_internat,0,NA
Autriche,AUT,2020-01-06,school,0,NA
Autriche,AUT,2020-01-06,workplace,0,NA
Autriche,AUT,2020-01-06,events,0,NA
Autriche,AUT,2020-01-06,gatherings,0,NA
Autriche,AUT,2020-01-06,transports,0,NA
Autriche,AUT,2020-01-06,confinement,0,NA
Autriche,AUT,2020-01-06,mov_nat,0,NA
Autriche,AUT,2020-01-06,mov_internat,0,NA
Autriche,AUT,2020-01-07,school,0,NA
Autriche,AUT,2020-01-07,workplace,0,NA
Autriche,AUT,2020-01-07,events,0,NA
Autriche,AUT,2020-01-07,gatherings,0,NA
Autriche,AUT,2020-01-07,transports,0,NA
Autriche,AUT,2020-01-07,confinement,0,NA
Autriche,AUT,2020-01-07,mov_nat,0,NA
Autriche,AUT,2020-01-07,mov_internat,0,NA
Autriche,AUT,2020-01-08,school,0,NA
Autriche,AUT,2020-01-08,workplace,0,NA
Autriche,AUT,2020-01-08,events,0,NA
Autriche,AUT,2020-01-08,gatherings,0,NA
Autriche,AUT,2020-01-08,transports,0,NA
Autriche,AUT,2020-01-08,confinement,0,NA
Autriche,AUT,2020-01-08,mov_nat,0,NA
Autriche,AUT,2020-01-08,mov_internat,0,NA
Autriche,AUT,2020-01-09,school,0,NA
Autriche,AUT,2020-01-09,workplace,0,NA
Autriche,AUT,2020-01-09,events,0,NA
Autriche,AUT,2020-01-09,gatherings,0,NA
Autriche,AUT,2020-01-09,transports,0,NA
Autriche,AUT,2020-01-09,confinement,0,NA
Autriche,AUT,2020-01-09,mov_nat,0,NA
Autriche,AUT,2020-01-09,mov_internat,0,NA
Autriche,AUT,2020-01-10,school,0,NA
Autriche,AUT,2020-01-10,workplace,0,NA
Autriche,AUT,2020-01-10,events,0,NA
Autriche,AUT,2020-01-10,gatherings,0,NA
Autriche,AUT,2020-01-10,transports,0,NA
Autriche,AUT,2020-01-10,confinement,0,NA
Autriche,AUT,2020-01-10,mov_nat,0,NA
Autriche,AUT,2020-01-10,mov_internat,0,NA
Autriche,AUT,2020-01-11,school,0,NA
Autriche,AUT,2020-01-11,workplace,0,NA
Autriche,AUT,2020-01-11,events,0,NA
Autriche,AUT,2020-01-11,gatherings,0,NA
Autriche,AUT,2020-01-11,transports,0,NA
Autriche,AUT,2020-01-11,confinement,0,NA
Autriche,AUT,2020-01-11,mov_nat,0,NA
Autriche,AUT,2020-01-11,mov_internat,0,NA
Autriche,AUT,2020-01-12,school,0,NA
Autriche,AUT,2020-01-12,workplace,0,NA
Autriche,AUT,2020-01-12,events,0,NA
Autriche,AUT,2020-01-12,gatherings,0,NA
Autriche,AUT,2020-01-12,transports,0,NA
Autriche,AUT,2020-01-12,confinement,0,NA
Autriche,AUT,2020-01-12,mov_nat,0,NA
Autriche,AUT,2020-01-12,mov_internat,0,NA
Autriche,AUT,2020-01-13,school,0,NA
Autriche,AUT,2020-01-13,workplace,0,NA
Autriche,AUT,2020-01-13,events,0,NA
Autriche,AUT,2020-01-13,gatherings,0,NA
Autriche,AUT,2020-01-13,transports,0,NA
Autriche,AUT,2020-01-13,confinement,0,NA
Autriche,AUT,2020-01-13,mov_nat,0,NA
Autriche,AUT,2020-01-13,mov_internat,0,NA
Autriche,AUT,2020-01-14,school,0,NA
Autriche,AUT,2020-01-14,workplace,0,NA
Autriche,AUT,2020-01-14,events,0,NA
Autriche,AUT,2020-01-14,gatherings,0,NA
Autriche,AUT,2020-01-14,transports,0,NA
Autriche,AUT,2020-01-14,confinement,0,NA
Autriche,AUT,2020-01-14,mov_nat,0,NA
Autriche,AUT,2020-01-14,mov_internat,0,NA
Autriche,AUT,2020-01-15,school,0,NA
Autriche,AUT,2020-01-15,workplace,0,NA
Autriche,AUT,2020-01-15,events,0,NA
Autriche,AUT,2020-01-15,gatherings,0,NA
Autriche,AUT,2020-01-15,transports,0,NA
Autriche,AUT,2020-01-15,confinement,0,NA
Autriche,AUT,2020-01-15,mov_nat,0,NA
Autriche,AUT,2020-01-15,mov_internat,0,NA
Autriche,AUT,2020-01-16,school,0,NA
Autriche,AUT,2020-01-16,workplace,0,NA
Autriche,AUT,2020-01-16,events,0,NA
Autriche,AUT,2020-01-16,gatherings,0,NA
Autriche,AUT,2020-01-16,transports,0,NA
Autriche,AUT,2020-01-16,confinement,0,NA
Autriche,AUT,2020-01-16,mov_nat,0,NA
Autriche,AUT,2020-01-16,mov_internat,0,NA
Autriche,AUT,2020-01-17,school,0,NA
Autriche,AUT,2020-01-17,workplace,0,NA
Autriche,AUT,2020-01-17,events,0,NA
Autriche,AUT,2020-01-17,gatherings,0,NA
Autriche,AUT,2020-01-17,transports,0,NA
Autriche,AUT,2020-01-17,confinement,0,NA
Autriche,AUT,2020-01-17,mov_nat,0,NA
Autriche,AUT,2020-01-17,mov_internat,0,NA
Autriche,AUT,2020-01-18,school,0,NA
Autriche,AUT,2020-01-18,workplace,0,NA
Autriche,AUT,2020-01-18,events,0,NA
Autriche,AUT,2020-01-18,gatherings,0,NA
Autriche,AUT,2020-01-18,transports,0,NA
Autriche,AUT,2020-01-18,confinement,0,NA
Autriche,AUT,2020-01-18,mov_nat,0,NA
Autriche,AUT,2020-01-18,mov_internat,0,NA
Autriche,AUT,2020-01-19,school,0,NA
Autriche,AUT,2020-01-19,workplace,0,NA
Autriche,AUT,2020-01-19,events,0,NA
Autriche,AUT,2020-01-19,gatherings,0,NA
Autriche,AUT,2020-01-19,transports,0,NA
Autriche,AUT,2020-01-19,confinement,0,NA
Autriche,AUT,2020-01-19,mov_nat,0,NA
Autriche,AUT,2020-01-19,mov_internat,0,NA
Autriche,AUT,2020-01-20,school,0,NA
Autriche,AUT,2020-01-20,workplace,0,NA
Autriche,AUT,2020-01-20,events,0,NA
Autriche,AUT,2020-01-20,gatherings,0,NA
Autriche,AUT,2020-01-20,transports,0,NA
Autriche,AUT,2020-01-20,confinement,0,NA
Autriche,AUT,2020-01-20,mov_nat,0,NA
Autriche,AUT,2020-01-20,mov_internat,0,NA
Autriche,AUT,2020-01-21,school,0,NA
Autriche,AUT,2020-01-21,workplace,0,NA
Autriche,AUT,2020-01-21,events,0,NA
Autriche,AUT,2020-01-21,gatherings,0,NA
Autriche,AUT,2020-01-21,transports,0,NA
Autriche,AUT,2020-01-21,confinement,0,NA
Autriche,AUT,2020-01-21,mov_nat,0,NA
Autriche,AUT,2020-01-21,mov_internat,0,NA
Autriche,AUT,2020-01-22,school,0,NA
Autriche,AUT,2020-01-22,workplace,0,NA
Autriche,AUT,2020-01-22,events,0,NA
Autriche,AUT,2020-01-22,gatherings,0,NA
Autriche,AUT,2020-01-22,transports,0,NA
Autriche,AUT,2020-01-22,confinement,0,NA
Autriche,AUT,2020-01-22,mov_nat,0,NA
Autriche,AUT,2020-01-22,mov_internat,0,NA
Autriche,AUT,2020-01-23,school,0,NA
Autriche,AUT,2020-01-23,workplace,0,NA
Autriche,AUT,2020-01-23,events,0,NA
Autriche,AUT,2020-01-23,gatherings,0,NA
Autriche,AUT,2020-01-23,transports,0,NA
Autriche,AUT,2020-01-23,confinement,0,NA
Autriche,AUT,2020-01-23,mov_nat,0,NA
Autriche,AUT,2020-01-23,mov_internat,0,NA
Autriche,AUT,2020-01-24,school,0,NA
Autriche,AUT,2020-01-24,workplace,0,NA
Autriche,AUT,2020-01-24,events,0,NA
Autriche,AUT,2020-01-24,gatherings,0,NA
Autriche,AUT,2020-01-24,transports,0,NA
Autriche,AUT,2020-01-24,confinement,0,NA
Autriche,AUT,2020-01-24,mov_nat,0,NA
Autriche,AUT,2020-01-24,mov_internat,0,NA
Autriche,AUT,2020-01-25,school,0,NA
Autriche,AUT,2020-01-25,workplace,0,NA
Autriche,AUT,2020-01-25,events,0,NA
Autriche,AUT,2020-01-25,gatherings,0,NA
Autriche,AUT,2020-01-25,transports,0,NA
Autriche,AUT,2020-01-25,confinement,0,NA
Autriche,AUT,2020-01-25,mov_nat,0,NA
Autriche,AUT,2020-01-25,mov_internat,0,NA
Autriche,AUT,2020-01-26,school,0,NA
Autriche,AUT,2020-01-26,workplace,0,NA
Autriche,AUT,2020-01-26,events,0,NA
Autriche,AUT,2020-01-26,gatherings,0,NA
Autriche,AUT,2020-01-26,transports,0,NA
Autriche,AUT,2020-01-26,confinement,0,NA
Autriche,AUT,2020-01-26,mov_nat,0,NA
Autriche,AUT,2020-01-26,mov_internat,0,NA
Autriche,AUT,2020-01-27,school,0,NA
Autriche,AUT,2020-01-27,workplace,0,NA
Autriche,AUT,2020-01-27,events,0,NA
Autriche,AUT,2020-01-27,gatherings,0,NA
Autriche,AUT,2020-01-27,transports,0,NA
