country_fr,iso3c,date,max_transit7,min_transit7,med_transit7
Autriche,AUT,2020-02-15,NA,NA,NA
Autriche,AUT,2020-02-16,NA,NA,NA
Autriche,AUT,2020-02-17,NA,NA,NA
Autriche,AUT,2020-02-18,NA,NA,NA
Autriche,AUT,2020-02-19,NA,NA,NA
Autriche,AUT,2020-02-20,NA,NA,NA
Autriche,AUT,2020-02-21,14,-9,7
Autriche,AUT,2020-02-22,16,-8,7
Autriche,AUT,2020-02-23,14,-9,6
Autriche,AUT,2020-02-24,15,-8,5
Autriche,AUT,2020-02-25,16,-6,5
Autriche,AUT,2020-02-26,14,-4,5
Autriche,AUT,2020-02-27,14,-3,4
Autriche,AUT,2020-02-28,13,-1,3
Autriche,AUT,2020-02-29,10,-3,2
Autriche,AUT,2020-03-01,10,-4,1
Autriche,AUT,2020-03-02,9,-5,0
Autriche,AUT,2020-03-03,7,-6,-1
Autriche,AUT,2020-03-04,8,-5,-0
Autriche,AUT,2020-03-05,9,-6,-0
Autriche,AUT,2020-03-06,8,-6,-1
Autriche,AUT,2020-03-07,8,-7,-1
Autriche,AUT,2020-03-08,8,-6,-1
Autriche,AUT,2020-03-09,8,-6,-1
Autriche,AUT,2020-03-10,8,-7,-1
Autriche,AUT,2020-03-11,8,-8,-2
Autriche,AUT,2020-03-12,8,-9,-4
Autriche,AUT,2020-03-13,9,-12,-6
Autriche,AUT,2020-03-14,8,-17,-10
Autriche,AUT,2020-03-15,4,-25,-17
Autriche,AUT,2020-03-16,-3,-33,-24
Autriche,AUT,2020-03-17,-11,-42,-33
Autriche,AUT,2020-03-18,-18,-50,-40
Autriche,AUT,2020-03-19,-25,-59,-48
Autriche,AUT,2020-03-20,-31,-66,-55
Autriche,AUT,2020-03-21,-39,-71,-61
Autriche,AUT,2020-03-22,-45,-75,-66
Autriche,AUT,2020-03-23,-48,-76,-68
Autriche,AUT,2020-03-24,-49,-77,-69
Autriche,AUT,2020-03-25,-51,-78,-71
Autriche,AUT,2020-03-26,-53,-78,-72
Autriche,AUT,2020-03-27,-54,-78,-72
Autriche,AUT,2020-03-28,-52,-78,-71
Autriche,AUT,2020-03-29,-50,-78,-70
Autriche,AUT,2020-03-30,-50,-78,-70
Autriche,AUT,2020-03-31,-49,-78,-70
Autriche,AUT,2020-04-01,-47,-77,-70
Autriche,AUT,2020-04-02,-46,-77,-69
Autriche,AUT,2020-04-03,-45,-76,-69
Autriche,AUT,2020-04-04,-46,-76,-69
Autriche,AUT,2020-04-05,-44,-76,-68
Autriche,AUT,2020-04-06,-42,-74,-67
Autriche,AUT,2020-04-07,-41,-74,-67
