country_name_fr,date,max_transit,min_transit,med_transit,max_retail,min_retail,med_retail,max_gp,min_gp,med_gp,max_parks,min_parks,med_parks,max_workplaces,min_workplaces,med_workplaces,max_res,min_res,med_res
Allemagne,2020-02-15,0.15,0.04,0.105,0.07,0.02,0.05,0.06,-0.03,0.01,0.61,0.33,0.465,0.03,-0.04,-0.005,-0.01,-0.02,-0.01
Allemagne,2020-02-16,0.2,-0.04,0.1,0.23,-0.05,0.06,0.43,-0.19,0.16,0.64,-0.4,0.05,0.01,-0.02,-0.01,0.01,-0.02,-0.01
Allemagne,2020-02-17,0.02,-0.08,-0.08,0.08,0.01,0.05,0.02,-0.02,-0.01,0.45,0.02,0.11,0.02,-0.18,-0.17,0.03,-0.01,0.02
Allemagne,2020-02-18,0.03,-0.15,0.01,0.06,0.01,0.03,0.04,-0.03,0.01,0.25,0.02,0.1,0.01,-0.18,-0.01,0.03,0.01,0.01
Allemagne,2020-02-19,-0.03,-0.11,-0.085,0.05,-0.02,0.02,-0.01,-0.06,-0.035,0.18,-0.19,-0.08,-0.01,-0.18,-0.16,0.03,0.01,0.03
Allemagne,2020-02-20,0.11,-0.11,-0.05,0.08,0.01,0.035,-0.01,-0.07,-0.04,0.23,-0.03,0.15,-0.04,-0.19,-0.175,0.03,0.01,0.02
Allemagne,2020-02-21,0.03,-0.11,0.005,0.03,-0.01,0.02,0.03,-0.04,0.015,0.22,-0.05,0.165,-0.01,-0.19,-0.05,0.03,0.01,0.015
Allemagne,2020-02-22,0.15,0.07,0.1,0.07,-0.05,0.02,0.01,-0.04,-0.02,0.57,-0.1,0.13,-0.01,-0.05,-0.03,0.01,-0.01,0.01
Allemagne,2020-02-23,0.05,-0.11,-0.065,-0.05,-0.12,-0.075,-0.03,-0.3,-0.125,-0.28,-0.44,-0.39,-0.01,-0.05,-0.035,0.01,0.01,0.01
Allemagne,2020-02-24,0.02,-0.28,-0.045,0.11,-0.09,0,0.02,-0.16,-0.055,0.54,-0.07,0.11,-0.01,-0.46,-0.215,0.1,0.01,0.04
Allemagne,2020-02-25,0.03,-0.19,-0.11,0.03,-0.04,0,0.04,-0.05,-0.015,0.34,-0.03,0.135,0.01,-0.28,-0.18,0.07,0.01,0.045
Allemagne,2020-02-26,-0.03,-0.17,-0.085,0.01,-0.08,-0.035,0.04,-0.04,-0.01,0.14,-0.25,-0.01,-0.01,-0.18,-0.03,0.04,0.01,0.025
Allemagne,2020-02-27,0.02,-0.18,-0.05,0.04,-0.16,-0.07,0.06,-0.06,0.035,0.2,-0.22,-0.05,0.01,-0.17,-0.015,0.04,0.01,0.02
Allemagne,2020-02-28,0.03,-0.11,-0.02,0.06,-0.04,0.02,0.14,0.05,0.095,0.13,-0.05,0.06,-0.01,-0.16,-0.02,0.03,0.01,0.015
Allemagne,2020-02-29,0.06,-0.04,0.01,-0.01,-0.05,-0.02,0.08,0.03,0.045,0.11,-0.08,0.045,0.01,-0.04,-0.015,0.02,-0.01,0.01
Allemagne,2020-03-01,0.17,0.02,0.05,0.17,-0.06,0.11,0.27,0.14,0.19,0.39,-0.02,0.16,0.06,0.01,0.02,0.01,-0.01,-0.01
Allemagne,2020-03-02,0.05,-0.04,0.02,0.07,0.03,0.04,0.12,0.04,0.05,0.42,0.06,0.21,0.02,-0.13,0.01,0.02,0.01,0.01
Allemagne,2020-03-03,0.05,-0.11,-0.04,0.07,-0.01,0.02,0.06,0.01,0.04,0.29,-0.02,0.09,0.01,-0.14,-0.01,0.03,0.01,0.01
Allemagne,2020-03-04,0.03,-0.11,-0.05,0.05,-0.04,0.02,0.04,-0.02,0.025,0.33,-0.2,0.15,0.01,-0.14,-0.01,0.03,0.01,0.01
Allemagne,2020-03-05,-0.03,-0.12,-0.08,0.06,-0.09,-0.06,0.03,-0.03,-0.02,0.41,-0.24,-0.16,-0.01,-0.14,-0.01,0.03,0.01,0.02
Allemagne,2020-03-06,-0.01,-0.11,-0.07,0.01,-0.1,-0.03,0.02,-0.07,-0.01,0.02,-0.22,-0.11,-0.01,-0.15,-0.02,0.03,0.02,0.02
Allemagne,2020-03-07,0.04,-0.03,0.005,0.04,-0.01,0.015,-0.02,-0.06,-0.04,0.29,0.27,0.28,-0.01,-0.04,-0.025,0.01,-0.01,0
Allemagne,2020-03-08,0.14,-0.06,0.08,0.29,0.02,0.22,0.39,0.13,0.21,0.48,0.14,0.43,0.08,-0.01,0.04,0.01,-0.01,-0.01
